Date,Total
1979M04,66351
1979M05,70959
1979M06,65426
1979M07,66988
1979M08,62044
1979M09,60918
1979M10,63552
1979M11,59927
1979M12,61797
1980M01,63538
1980M02,60354
1980M03,67017
1980M04,68442
1980M05,73984
1980M06,67896
1980M07,71028
1980M08,67362
1980M09,65719
1980M10,67243
1980M11,62887
1980M12,64906
1981M01,65214
1981M02,60514
1981M03,68630
1981M04,70351
1981M05,73189
1981M06,69281
1981M07,71634
1981M08,68330
1981M09,65325
1981M10,65195
1981M11,62119
1981M12,65701
1982M01,64717
1982M02,60701
1982M03,69193
1982M04,69541
1982M05,72406
1982M06,68944
1982M07,70847
1982M08,67083
1982M09,65181
1982M10,64998
1982M11,61178
1982M12,62434
1983M01,61042
1983M02,57134
1983M03,62166
1983M04,62754
1983M05,68829
1983M06,66146
1983M07,68091
1983M08,63518
1983M09,61396
1983M10,60295
1983M11,57089
1983M12,60065
1984M01,60189
1984M02,58353
1984M03,63252
1984M04,61144
1984M05,66841
1984M06,65570
1984M07,68678
1984M08,64674
1984M09,62899
1984M10,64887
1984M11,61239
1984M12,62213
1985M01,63003
1985M02,56278
1985M03,64260
1985M04,64679
1985M05,70206
1985M06,65603
1985M07,69242
1985M08,63905
1985M09,62793
1985M10,64195
1985M11,60909
1985M12,63358
1986M01,63920
1986M02,58689
1986M03,65629
1986M04,65781
1986M05,70208
1986M06,66807
1986M07,67734
1986M08,65760
1986M09,64206
1986M10,65099
1986M11,60307
1986M12,64328
1987M01,62628
1987M02,57137
1987M03,64507
1987M04,64830
1987M05,69074
1987M06,68275
1987M07,67974
1987M08,64129
1987M09,63190
1987M10,63511
1987M11,59689
1987M12,62884
1988M01,62358
1988M02,59563
1988M03,65930
1988M04,63550
1988M05,68600
1988M06,64456
1988M07,66600
1988M08,66037
1988M09,64609
1988M10,64432
1988M11,61714
1988M12,63419
1989M01,60905
1989M02,57666
1989M03,64569
1989M04,64191
1989M05,68364
1989M06,66118
1989M07,68170
1989M08,64007
1989M09,60567
1989M10,64292
1989M11,62184
1989M12,64440
1990M01,62921
1990M02,56701
1990M03,63230
1990M04,62139
1990M05,67307
1990M06,65000
1990M07,68843
1990M08,64823
1990M09,61992
1990M10,64688
1990M11,61404
1990M12,63359
1991M01,62758
1991M02,57319
1991M03,62463
1991M04,62560
1991M05,65687
1991M06,64174
1991M07,68810
1991M08,64545
1991M09,63655
1991M10,64147
1991M11,60402
1991M12,62536
1992M01,61964
1992M02,58811
1992M03,62478
1992M04,61694
1992M05,64604
1992M06,62280
1992M07,66802
1992M08,62163
1992M09,61773
1992M10,61693
1992M11,58132
1992M12,61264
1993M01,58502
1993M02,53452
1993M03,58950
1993M04,58898
1993M05,60138
1993M06,61634
1993M07,64789
1993M08,60699
1993M09,59787
1993M10,59102
1993M11,56417
1993M12,59242
1994M01,56329
1994M02,52901
1994M03,58381
1994M04,58486
1994M05,62801
1994M06,60951
1994M07,63826
1994M08,59604
1994M09,57880
1994M10,60406
1994M11,58605
1994M12,60823
1995M01,58573
1995M02,53474
1995M03,60020
1995M04,57521
1995M05,62061
1995M06,63217
1995M07,65736
1995M08,62474
1995M09,61638
1995M10,63788
1995M11,59746
1995M12,61361
1996M01,59552
1996M02,56692
1996M03,60400
1996M04,59500
1996M05,63232
1996M06,62819
1996M07,66108
1996M08,61124
1996M09,60767
1996M10,62493
1996M11,59994
1996M12,61657
1997M01,60206
1997M02,55141
1997M03,59007
1997M04,61726
1997M05,63004
1997M06,61616
1997M07,65170
1997M08,60381
1997M09,59341
1997M10,61058
1997M11,58508
1997M12,61610
1998M01,60941
1998M02,55008
1998M03,61282
1998M04,62217
1998M05,61716
1998M06,60742
1998M07,65701
1998M08,63321
1998M09,63729
1998M10,62236
1998M11,59540
1998M12,61647
1999M01,59837
1999M02,55445
1999M03,61726
1999M04,61179
1999M05,63900
1999M06,62656
1999M07,67137
1999M08,63892
1999M09,63828
1999M10,62887
1999M11,59317
1999M12,62987
2000M01,63559
2000M02,60149
2000M03,64315
2000M04,62469
2000M05,67324
2000M06,63940
2000M07,67916
2000M08,66778
2000M09,64297
2000M10,65720
2000M11,63262
2000M12,65053
2001M01,64850
2001M02,57456
2001M03,63962
2001M04,62957
2001M05,67673
2001M06,63176
2001M07,68550
2001M08,66010
2001M09,63452
2001M10,66765
2001M11,63160
2001M12,62934
2002M01,63884
2002M02,57216
2002M03,62091
2002M04,61725
2002M05,64383
2002M06,62181
2002M07,67968
2002M08,65735
2002M09,64203
2002M10,66644
2002M11,61411
2002M12,64189
2003M01,63955
2003M02,58057
2003M03,62351
2003M04,62670
2003M05,65699
2003M06,62144
2003M07,67625
2003M08,64025
2003M09,63601
2003M10,65109
2003M11,61905
2003M12,64323
2004M01,64039
2004M02,59222
2004M03,60985
2004M04,61116
2004M05,61453
2004M06,63303
2004M07,68793
2004M08,65846
2004M09,65273
2004M10,66932
2004M11,64929
2004M12,65925
2005M01,63987
2005M02,58823
2005M03,63902
2005M04,62437
2005M05,65178
2005M06,63627
2005M07,66574
2005M08,67070
2005M09,66424
2005M10,67111
2005M11,63574
2005M12,65648
2006M01,64814
2006M02,59915
2006M03,65394
2006M04,61797
2006M05,68860
2006M06,66224
2006M07,69705
2006M08,68913
2006M09,69029
2006M10,70117
2006M11,65741
2006M12,66387
2007M01,66287
2007M02,59939
2007M03,64561
2007M04,60994
2007M05,66638
2007M06,64156
2007M07,68411
2007M08,68249
2007M09,66488
2007M10,68727
2007M11,64811
2007M12,66724
2008M01,66911
2008M02,61219
2008M03,64405
2008M04,65943
2008M05,68582
2008M06,65352
2008M07,70282
2008M08,67926
2008M09,67820
2008M10,67489
2008M11,63865
2008M12,66250
2009M01,66436
2009M02,58890
2009M03,64725
2009M04,63560
2009M05,66099
2009M06,65184
2009M07,70900
2009M08,68311
2009M09,67988
2009M10,67903
2009M11,65117
2009M12,68307
2010M01,66785
2010M02,61107
2010M03,66066
2010M04,64024
2010M05,66774
2010M06,65535
2010M07,69761
2010M08,68783
2010M09,67959
2010M10,70298
2010M11,66874
2010M12,68258
2011M01,66293
2011M02,60316
2011M03,64702
2011M04,62244
2011M05,67624
2011M06,66950
2011M07,70231
2011M08,69486
2011M09,67003
2011M10,67464
2011M11,64559
2011M12,66124
2012M01,64914
2012M02,61634
2012M03,65079
2012M04,63184
2012M05,66341
2012M06,63920
2012M07,68774
2012M08,68642
2012M09,66919
2012M10,69892
2012M11,65122
2012M12,65869
2013M01,65670
2013M02,58533
2013M03,62652
2013M04,61106
2013M05,65152
2013M06,63680
2013M07,70099
2013M08,68466
2013M09,66818
2013M10,67931
2013M11,64462
2013M12,67052
2014M01,67011
2014M02,60373
2014M03,64557
2014M04,60665
2014M05,64527
2014M06,65018
2014M07,68465
2014M08,66837
2014M09,67426
2014M10,67637
2014M11,63078
2014M12,65573
2015M01,64596
2015M02,57525
2015M03,61115
2015M04,59699
2015M05,64144
2015M06,63984
2015M07,66701
2015M08,65784
2015M09,65449
2015M10,65888
2015M11,61899
2015M12,63637
2016M01,62570
2016M02,57854
2016M03,59634
2016M04,57235
2016M05,62373
2016M06,62797
2016M07,67237
2016M08,65109
2016M09,63579
2016M10,64513
2016M11,60546
2016M12,61250
2017M01,60446
2017M02,54948
2017M03,58676
2017M04,57195
2017M05,62091
2017M06,59935
2017M07,65170
2017M08,64654
2017M09,61693
2017M10,63830
2017M11,60763
2017M12,60841
2018M01,59752
2018M02,52733
2018M03,56391
2018M04,55364
2018M05,61232
2018M06,60292
2018M07,64823
2018M08,63860
2018M09,61834
2018M10,63588
2018M11,59937
2018M12,59931
2019M01,59866
2019M02,51832
2019M03,56592
2019M04,55652
2019M05,60092
2019M06,59768
2019M07,64579
2019M08,62998
2019M09,61515
2019M10,62636
2019M11,58700
2019M12,59799
2020M01,59058
2020M02,53514
2020M03,57285
2020M04,54317
2020M05,58722
2020M06,58571
2020M07,62593
2020M08,60399
2020M09,59810
2020M10,60873
2020M11,56047
2020M12,55475
2021M01,51190
2021M02,49209
2021M03,57877
2021M04,56886
2021M05,57770
2021M06,57482
2021M07,62690
2021M08,62341
2021M09,61774
2021M10,63639
2021M11,59856
2021M12,61105
2022M01,57168
2022M02,52956
2022M03,56738
2022M04,54233
2022M05,58622
2022M06,58331
2022M07,61415
2022M08,60778
2022M09,56941
2022M10,57402
2022M11,56128
2022M12,55852
2023M01,53700
2023M02,49700
2023M03,52900
2023M04,50500
2023M05,53900
2023M06,54000
2023M07,56100
2023M08,55700
2023M09,52500
2023M10,54900
